"trailName","dist.","elevation","routeType","ratingCount","keywords","difficulty","avgRating"
"Potato Chip Rock via Mt. Woodson Trail",6.9,2132,"Out & Back",2454,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|birding|camping|hiking|mountainbiking|naturetrips|trailrunning|lake|views|wildlife|scramble|noshade","HARD|HARD|HARD|HARD",4.5
"Vernal and Nevada Falls via the Mist Trail",6.4,2188,"Loop",1813,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|birding|hiking|naturetrips|walking|forest|partiallypaved|river|views|waterfall|wildflowers|wildlife|bugs|rocky|snow|nodogs","HARD|HARD|HARD|HARD",5
"Eaton Canyon Trail",3.5,436,"Out & Back",1945,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|overgrown|rocky|scramble|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4
"Bridge to Nowhere via East Fork Trail",8.9,1158,"Out & Back",1315,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|backpacking|birding|camping|fishing|hiking|naturetrips|trailrunning|walking|forest|railstrails|river|views|waterfall|wildflowers|wildlife|bridgeout|overgrown|rocky|scramble|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Alamere Falls via Coast Trail from Palomarin Trailhead",8.8,1335,"Out & Back",1296,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|beach|forest|lake|views|waterfall|wildflowers|wildlife|bugs|rocky|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Iron Mountain Trail",5.2,1102,"Loop",1514,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|backpacking|birding|hiking|horsebackriding|mountainbiking|naturetrips|rockclimbing|trailrunning|walking|forest|views|wildflowers|wildlife|rocky|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mission Peak Loop from Stanford Avenue Staging Area",5.8,2135,"Loop",1459,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogfriendly|backpacking|birding|camping|fishing|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|partiallypaved|views|wildflowers|wildlife|muddy|rocky","HARD|HARD|HARD|HARD",4.5
"Cowles Mountain Trail",2.9,912,"Out & Back",1694,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|views|wildflowers|rocky|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4
"Mount San Antonio & Mount Baldy Notch Trail",9.2,3940,"Loop",1014,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogfriendly|backpacking|birding|hiking|naturetrips|snowshoeing|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|rocky|snow|historicsite","HARD|HARD|HARD|HARD",4.5
"Half Dome Trail",14.8,5164,"Out & Back",961,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|camping|hiking|rockclimbing|trailrunning|forest|river|views|waterfall|wildflowers|wildlife|bugs|rocky|scramble|nodogs","HARD|HARD|HARD|HARD",5
"Upper Yosemite Falls Trail",5,3175,"Out & Back",1051,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|rocky|nodogs","HARD|HARD|HARD|HARD",5
"Dipsea, Steep Ravine, and Matt Davis Loop",6.4,1699,"Loop",974,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|naturetrips|trailrunning|walking|beach|forest|views|waterfall|wildflowers|wildlife|muddy|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Black Star Canyon Trail",6.8,941,"Out & Back",1159,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|blowdown|muddy|rocky|scramble|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Sturtevant Falls Trail",3,646,"Out & Back",948,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|hiking|horsebackriding|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|bugs|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Hidden Falls Trail",3.2,488,"Loop",1136,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|wheelchairfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|river|views|waterfall|wildflowers","MODERATE|MODERATE|MODERATE|MODERATE",4
"Runyon Canyon Trail",2.6,764,"Loop",1199,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|hiking|naturetrips|trailrunning|walking|partiallypaved|views|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4
"Torrey Pines Beach Trail Loop",2.3,364,"Loop",1144,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|partiallypaved|views|wildflowers|nodogs","EASY|EASY|EASY|EASY",4.5
"Lands End Trail",3.4,534,"Loop",998,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|cave|forest|partiallypaved|views|wildflowers|wildlife|historicsite","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Tallac Trail",10.2,3290,"Out & Back",964,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogfriendly|camping|hiking|rockclimbing|snowshoeing|forest|lake|views|wildflowers|wildlife|rocky|scramble|snow","HARD|HARD|HARD|HARD",5
"Temescal Canyon Trail",2.9,875,"Loop",1035,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|backpacking|birding|hiking|trailrunning|walking|views|waterfall|wildflowers|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
